"objective_1","objective_2"
"-460.773296585083","-985.8791474914551"
"-333.46932876586914","-986.8231481170654"
"-247.04945404052734","-1017.791149597168"
"-235.9140001296997","-1010.6614457702636"
"-219.69405151367187","-1013.0285709381103"
"-207.93887683868408","-1017.7089005279541"
"-192.4843902206421","-1019.7704158020019"
"-179.45256870269776","-1030.1044998931884"
"-168.81825130462647","-1049.4800869750977"
"-168.82263439178467","-1028.8535684967042"
"-160.6456322479248","-1054.4987634277343"
