"objective_1","objective_2"
"-133.51239730818196","-610.1938349058231"
"-113.130344699199","-603.687771555533"
"-103.14351616961261","-605.8485895872116"
"-116.21894942495662","-605.3993557602167"
"-70.83193679973483","-615.1638806819916"
"-118.58964824502667","-607.8169611096382"
"-87.78373963867004","-613.2637680808704"
"-65.84539932023424","-618.42512503167"
"-93.8535917737754","-616.585736934344"
"-58.30672699660063","-625.0525244712829"
"-79.19767312159141","-614.3067451859514"
"-80.88828999747832","-609.4779650727908"
"-77.9454635515809","-616.2582170208295"
"-160.58721986999734","-593.4192960952719"
"-54.03654278852046","-627.066008969148"
"-108.25505237480004","-613.6296238883089"
"-81.04848724276138","-617.561822660764"
"-52.041587900494534","-620.4964653412501"
"-82.70786211440961","-610.5969226797422"
"-42.36300003329913","-626.7975653409958"
"-68.35367423767845","-613.2008939901988"
"-77.7112644885977","-612.3663465480009"
"-37.27035368286694","-618.8515316963196"
"-40.18548047679166","-623.7414655208588"
"-37.755196669033225","-623.5848784804344"
"-34.42071648798883","-618.0254845738411"
"-40.539617197215556","-619.2547471324602"
"-9.734897207592924","-633.4856461366018"
"-17.80354148236414","-625.1435706650217"
"-2.308518594720711","-637.4914090792338"
"-4.345720214008664","-630.4646897713343"
"-2.7631931866208714","-627.403735379378"
"-11.496432588171835","-615.6356381674608"
"-4.056546847925832","-636.1804027716319"
"-11.750601770495996","-621.4261370182037"
"-5.732622847209374","-620.4183419346809"
"-9.592659764686443","-620.6841595371565"
"-6.337083126852909","-630.2846228202184"
"-5.061046492510164","-626.7691174467404"
"-2.7540373697256046","-625.1716693162919"
"-3.544090271834284","-625.0194681564967"
"-7.710623996456464","-622.3070412456989"
"-4.162775424588472","-623.3603207111358"
"-4.016235873972376","-628.984495429198"
"-5.445569377889236","-623.8076275587082"
"-2.3404666712352387","-633.4389964024226"
"-6.579517235676758","-627.0466830571493"
"-4.689964389707893","-623.9191177268823"
"-1.8725615083550413","-625.6891801436742"
"-3.302332218705366","-630.7398116270701"
"-2.4747480178872743","-631.6106033245723"
"-2.948950892003874","-623.7542779684067"
"-3.850477000201742","-625.9659492174784"
"-4.909357569397738","-622.5160902736087"
"-4.0704333178699015","-630.0813986976941"
"-5.6954680336639285","-628.826076764109"
"-4.502343063056469","-625.0948279182116"
"-2.239977608434856","-625.2145238876343"
"-3.277967774410111","-626.4487837970257"
"-2.898177756369114","-634.3144613027573"
"-2.8927606971313558","-627.7022773663203"
"-2.5899094390993316","-629.1637442668278"
"-3.3735735590259233","-629.8374183138211"
"-5.13321643700668","-624.2132339338461"
"-3.948199051634098","-627.3397606213888"
"-3.261021317789952","-623.4437946160634"
"-1.9762364174433362","-645.7906842470169"
"-2.716082812504222","-634.7399972756704"
"-2.7585373238039512","-621.7846461057663"
"-4.103722083537529","-617.2390182177226"
"-2.6684996570150057","-638.8707636058331"
"-2.3654763245993915","-634.7460942347844"
"-2.443653743217389","-629.3079404036204"
"-2.6459666937589645","-627.9931814789772"
"-3.112162190833866","-638.6151558240255"
"-5.0755579322421305","-622.2328992088636"
"-2.597667460485051","-627.8464674870173"
"-2.080004958156496","-627.1278457085292"
"-3.532157671265304","-630.5989358663559"
"-1.2608728024798135","-646.6088002284367"
"-3.208785693968336","-628.9958846410116"
"-3.0378457754695165","-633.0089124282201"
"-3.617451658565551","-631.1877802491188"
"-3.3189571579297383","-637.9799982746442"
"-2.3837091722836097","-625.3473309636116"
"-2.602201527853807","-625.7478475570679"
"-2.2069742560386656","-630.7788837989171"
"-1.9778881373504797","-633.9963859319687"
"-2.7802844662840167","-623.9164256970088"
"-1.591752656797568","-630.8635629018148"
"-2.5651339871188004","-633.3170837839444"
"-2.3121079210812847","-636.5618330279987"
"-2.1135152873893577","-621.5005265315374"
"-1.8067920003241549","-634.4486957629522"
"-2.7904591649770736","-622.6660731395085"
"-1.8846829154994338","-632.1864715337754"
"-2.7911964116618035","-620.7673104998966"
"-2.5405106293037534","-626.4597213188807"
"-2.297513505568107","-624.644305674235"
"-2.196179969608784","-624.9065379142761"
