"objective_1","objective_2"
"-73.39035321678966","-1076.5391439293512"
"-91.58881153018447","-1065.4194544136758"
"-71.71371280020102","-1096.039175145328"
"-82.84834711228613","-1029.3802896485463"
"-69.56270407708362","-1004.4719778833911"
"-79.47037399683032","-1028.282851586165"
"-64.72086507615168","-1066.5147151859478"
"-71.24722213675705","-1107.3744095345087"
"-83.29900074638427","-1056.609120756481"
"-74.37697059693747","-1068.2329036493088"
"-70.88213512944057","-1060.446119975706"
"-90.09127516392036","-1043.687273112312"
"-82.24796221321449","-1059.3835033069831"
"-63.1583459764719","-1079.3527351595228"
"-83.16138747492805","-1016.4319843394217"
"-95.7387399474159","-997.6882432789541"
"-67.16239957809448","-1079.6275188192667"
"-83.260142105259","-1076.7397426747716"
"-83.04441480751557","-1025.2841731056571"
"-82.34443236462248","-1063.7087879768108"
"-86.7862872140482","-1065.1033379874839"
"-77.4216889740841","-1082.5782647667918"
"-75.43552126286086","-1062.4892928575166"
"-85.57834945768118","-1013.1703045339324"
"-96.12083353679627","-1026.121232760814"
"-92.9556058046408","-1002.7682699717582"
"-77.34653086984763","-1081.9779459177983"
"-88.97290691230447","-1026.503776771645"
"-68.20084416465833","-1080.9998125463724"
"-99.42842827022541","-980.0769132537768"
"-81.36029531154782","-1071.8314569330716"
"-82.60681076302426","-1054.7938522387296"
"-80.55766768599861","-1043.2455642425455"
"-53.7629016910214","-1102.4900189174339"
"-94.0652968265349","-1064.1902357867452"
"-88.58964746461716","-1041.4625687862747"
"-87.08597782958532","-1068.9964369311463"
"-80.32767768181512","-1030.6383297609632"
"-85.67892163456418","-1026.8767174722161"
"-67.64255417736713","-1111.7244319410297"
"-79.98116019568405","-1046.3256179789082"
"-78.54149709015618","-1048.1819498056545"
"-93.7937281632796","-1056.3309125532862"
"-62.76994758602232","-1093.662073248392"
"-73.37736147395336","-1065.5790634417906"
"-76.05689284121618","-1017.5259623282589"
"-79.78078478265088","-1016.2630527003669"
"-79.49448593684937","-1070.015534760349"
"-70.05272580049932","-1079.9176345758606"
"-84.96117426776327","-1013.8197607470677"
"-91.18697834811174","-1040.5949441783828"
"-77.71886127984617","-1112.4168431217126"
"-85.33333590454421","-1042.6515773282167"
"-73.56355427522212","-1017.2453504702077"
"-83.55367537010461","-1101.9306935386267"
"-82.25791879708413","-1053.1906283682213"
"-85.00466600626241","-1024.3123536384433"
"-75.02181172666606","-1098.118830416631"
"-68.95919920201413","-1074.2654679800385"
"-93.47173674741934","-1053.9557158313924"
"-78.11762665254064","-1005.3545140471309"
"-76.73559092201758","-1072.9161695837508"
"-70.07974501922726","-1035.9346000167425"
"-69.74709290070459","-1016.9353500239552"
"-79.08461908337195","-1027.0318783797325"
"-76.96621965439991","-1077.2901846003485"
"-74.92339838333427","-1049.0387985873501"
"-78.37987178150797","-1004.8168921035715"
"-73.19231213517487","-1076.9874491387513"
"-77.6111861359328","-1093.35345320942"
"-82.55678115016781","-1041.1899266176392"
"-82.21239309515803","-1063.2223510871875"
"-80.20038340957835","-1057.9506222361465"
"-77.9966378102079","-1105.2860811244232"
"-86.46388653814793","-1085.6863883918036"
"-91.98711895355954","-1061.4935281453654"
"-96.08968629799783","-986.0251456358237"
"-93.74117680937051","-1024.5929739042767"
"-85.22666828739166","-1059.185939794872"
"-89.6384060287397","-1044.172304619616"
"-77.3024989415193","-1036.924273716798"
"-71.68834243910388","-1069.9305310023483"
"-80.32656475108816","-1046.7751145372167"
"-73.25147860989674","-1095.8873343652172"
"-81.10707412404008","-1019.8940353814571"
"-91.0830504295067","-1075.3310204196955"
"-75.07052913266234","-1045.8755718662753"
"-88.91847079973668","-1059.2322493303102"
"-84.14731043726206","-1022.714117242617"
"-88.66199447046384","-1003.5846124941017"
"-75.99639843680924","-1089.2624249713494"
"-83.26561858535278","-1075.494434410712"
"-93.20277076615021","-1083.2038464510115"
"-65.96771980100894","-1079.8566289003006"
"-76.60723275053314","-1034.3507890490814"
"-80.60286182246637","-1068.6632897190284"
"-83.38629777557216","-1047.9772641331424"
"-80.99225309668108","-1053.2006198002723"
"-74.58239109064452","-1054.673781122826"
"-78.02052552669775","-1070.9404588820785"
