"objective_1","objective_2"
"0","-630.9378136634826"
"0","-639.5746267795563"
"0","-644.7958415031433"
"0","-635.9363366127014"
"0","-637.2867956161499"
"0","-629.0112915992737"
"0","-637.0826164245606"
"0","-625.3960817813874"
"0","-625.0878858089447"
"0","-632.9619155883789"
"0","-632.9976477146149"
"0","-643.6835811138153"
"0","-628.0713098526"
"0","-626.5801295757294"
"0","-622.2288714408875"
"0","-636.4918924331665"
"0","-644.694389629364"
"0","-641.0023347377777"
"0","-628.9426853656769"
"0","-629.0237725734711"
"0","-621.4112405300141"
"0","-624.4651170730591"
"0","-630.9597430706024"
"0","-639.9477023124695"
"0","-623.1012972831726"
"0","-630.9994210720063"
"0","-648.3364471912384"
"0","-631.0395604133606"
"0","-623.960930299759"
"0","-640.7199407100677"
"0","-633.7491542816163"
"0","-631.5044053077697"
"0","-628.3625819206238"
"0","-635.3823065757751"
"0","-625.9158027172089"
"0","-635.4785933017731"
"0","-628.7048787593842"
"0","-626.3892637729645"
"0","-638.4563992500305"
"0","-636.9190653324127"
"0","-624.2086805820466"
"0","-635.3441276073456"
"0","-641.7592044830322"
"0","-623.2844656467438"
"0","-622.8484879493714"
"0","-624.0438521385192"
"0","-637.9538296699524"
"0","-639.9590013504028"
"0","-633.0517154216766"
"0","-634.9725097179413"
"0","-644.4087794303894"
"0","-643.2990285396576"
"0","-632.2408691883087"
"0","-640.5084021568298"
"0","-631.7462884902955"
"0","-625.5110114574433"
"0","-631.8088040828704"
"0","-632.8354565620423"
"0","-634.3520622253418"
"0","-623.3839875221253"
"0","-634.294484949112"
"0","-639.2045833110809"
"0","-624.5041855335236"
"0","-629.566165304184"
"0","-634.1316393375397"
"0","-641.5111737728118"
"0","-626.22246966362"
"0","-633.6658207416534"
"0","-638.7932604789734"
"0","-640.9265075206756"
"0","-628.0959512233734"
"0","-638.2987515926361"
"0","-632.0524985313416"
"0","-625.5000567913055"
"0","-644.0130630016326"
"0","-632.9893034934997"
"0","-634.5374261379242"
"0","-630.0887704849243"
"0","-638.8004479885101"
"0","-631.1775394916534"
"0","-629.4716326236725"
"0","-644.784750509262"
"0","-632.1848016262054"
"0","-627.5754566669464"
"0","-629.8520067691803"
"0","-637.2034240245819"
"0","-632.4127803325653"
"0","-634.6137906074524"
"0","-631.6772132873535"
"0","-645.9563703060151"
"0","-620.9377445220947"
"0","-634.7984573841095"
"0","-661.3993025302887"
"0","-628.3164792537689"
"0","-633.9212842941284"
"0","-633.2919159412384"
"0","-629.963186120987"
"0","-636.4296875"
"0","-632.048976945877"
"0","-628.1660768032074"
