"objective_1","objective_2","objective_3","objective_4"
"-53.825910431146625","-674.0212281562387","null","null"
"-49.54581770002842","-689.9447083257139","null","null"
"-47.81021571131423","-667.5649483762681","null","null"
"-49.31743054315448","-683.5269097357989","null","null"
"-46.30512890815735","-740.982352270186","null","null"
"-52.95672726109624","-652.4050389153883","null","null"
"-41.581186240911485","-696.4977005429566","null","null"
"-49.57974858954549","-685.8374646831304","null","null"
"-68.16492050364613","-662.8847512343898","null","null"
"-57.105323838815096","-687.8992409667932","null","null"
"-58.24908503647894","-662.178915495798","null","null"
"-51.42187413331121","-674.4332720451057","null","null"
"-55.14074868671596","-676.794968463853","null","null"
"-66.04421071112156","-640.24543874003","null","null"
"-76.32254621982574","-635.5838265459985","null","null"
"-52.76300656199455","-709.7432393729687","null","null"
"-75.3845908164978","-643.1613095104694","null","null"
"-62.44628080427647","-683.1255739521235","null","null"
"-59.084954955801365","-626.4787021331489","null","null"
"-56.25124745611102","-664.1981537267566","null","null"
"-48.353181725740434","-633.6791236609221","null","null"
"-48.36531629301608","-688.6336883470416","null","null"
"-53.87506202999502","-681.4378967761993","null","null"
"-60.71005220264196","-661.5348953425885","null","null"
"-56.392891517281534","-682.2969457022846","null","null"
"-56.36682501509786","-661.0756216049194","null","null"
"-69.05327093750239","-663.9704245917499","null","null"
"-68.62663702527061","-699.4892154686153","null","null"
"-56.298533814400436","-708.0080245636403","null","null"
"-64.38854395989328","-654.6024706408382","null","null"
"-77.31814892441034","-613.8748516667634","null","null"
"-53.75526386303827","-643.718700183928","null","null"
"-64.94040322285146","-668.1881994888187","null","null"
"-53.00717695131898","-654.5123835772276","null","null"
"-62.82771075740457","-693.6208620712162","null","null"
"-51.90575544461608","-712.8263063438237","null","null"
"-62.479453921318054","-738.2573179841041","null","null"
"-49.85876201521605","-701.3482471555471","null","null"
"-44.18454838376492","-713.4940884049981","null","null"
"-58.2788711450994","-717.1089080468752","null","null"
"-63.9937828630209","-639.4227727532386","null","null"
"-61.270410660892956","-636.1874892234803","null","null"
"-47.83761281678453","-721.161068290472","null","null"
"-50.60662761926651","-687.4029693753924","null","null"
"-56.28383946828544","-632.5701433166862","null","null"
"-43.697489372640845","-680.6702731508528","null","null"
"-58.295112231373786","-690.4489007622003","null","null"
"-68.12787367850542","-689.763558411412","null","null"
"-63.43373075574637","-682.0466879215091","null","null"
"-48.379932352900504","-681.1851002410054","null","null"
"-50.49297213405371","-664.5938557263464","null","null"
"-50.18990911915898","-708.4177619859577","null","null"
"-39.055433036386965","-766.268024635315","null","null"
"-51.603990234807135","-671.8336715094745","null","null"
"-55.84787578582764","-718.7298650249838","null","null"
"-52.61727483414579","-663.3433426827193","null","null"
"-36.64726822376251","-740.33965065144","null","null"
"-54.10201097875834","-660.0327257325873","null","null"
"-44.14892025655136","-701.7904882654548","null","null"
"-54.19328349418938","-710.4723296284676","null","null"
"-54.972707405127586","-658.4420226842165","null","null"
"-49.30313912630081","-701.7939643067308","null","null"
"-54.75450811359333","-709.1697111040354","null","null"
"-76.50135920532048","-660.8952230677008","null","null"
"-49.814269135147335","-701.0022412374616","null","null"
"-58.69872944094241","-664.9966579496861","null","null"
"-47.32716978415847","-710.5972694600001","null","null"
"-51.886815363168715","-727.0955201417207","null","null"
"-49.99308765344322","-681.1955062317662","null","null"
"-55.83356097191572","-659.1228422731161","null","null"
"-53.4138987287879","-666.3864756600466","null","null"
"-53.12803935110569","-677.8609108410776","null","null"
"-55.20472081303596","-687.6082942955196","null","null"
"-51.73878186307847","-687.5466007143259","null","null"
"-60.5067522674799","-672.5954489141702","null","null"
"-51.410609521344306","-686.1240614168346","null","null"
"-48.41015218496322","-736.4331359535456","null","null"
"-40.08483240008354","-693.7408106684685","null","null"
"-48.780442553013565","-671.6238620697055","null","null"
"-45.54329734444618","-694.1602890275419","null","null"
"-44.98635986000299","-730.0095173479989","null","null"
"-56.55490490533411","-637.0844769746066","null","null"
"-46.96303251497447","-698.6176434591413","null","null"
"-50.29939961880446","-659.5228907376528","null","null"
"-67.76008116211742","-661.9769948638975","null","null"
"-61.29114651493728","-693.4653504684568","null","null"
"-51.24114367030561","-667.9055291499942","null","null"
"-53.416035145521164","-689.1986652649939","null","null"
"-46.114793322980404","-696.6209959344939","null","null"
"-49.07654754463583","-664.1535607203841","null","null"
"-60.19035868421197","-681.8993429748341","null","null"
"-63.12356951937545","-669.1076896987855","null","null"
"-48.35618066489697","-676.1845049187541","null","null"
"-51.53987810635008","-638.1698025286198","null","null"
"-55.47306340634823","-709.9309099048376","null","null"
"-48.329544802568854","-694.3778737984597","null","null"
"-52.59737327387556","-654.0207009214907","null","null"
"-63.12815413326025","-675.5395202266052","null","null"
"-47.73157072588801","-664.5550818109884","null","null"
"-58.82226366326213","-640.2815742541104","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"null","null","null","null"
"-58.501116377860306","-647.0316423103213","null","null"
"-44.54196770191193","-709.7710405617952","null","null"
"-55.08274916978553","-679.2507836587727","null","null"
"-63.35133514665067","-673.4718890339136","null","null"
"-62.705540573224425","-684.7086230136454","null","null"
"-60.215512979030606","-660.5340641201474","null","null"
"-50.74529527276754","-697.6294622197747","null","null"
"-52.34041840881109","-644.9089715690352","null","null"
"-47.48042822545394","-722.0380989976227","null","null"
"-54.593037880212066","-634.5874408051371","null","null"
"-63.906192706152794","-660.2609367039055","null","null"
"-54.4279022321105","-719.8963743444532","null","null"
"-42.264286276698115","-742.8059739686548","null","null"
"-43.40120019316673","-700.6199819035828","null","null"
"-52.58428602442145","-710.125141762197","null","null"
"-51.573240901529786","-719.0375986156985","null","null"
"-36.47739472053945","-689.8389698572457","null","null"
"-44.43308558166027","-710.2654756307602","null","null"
"-51.72925949133933","-674.2341375129297","null","null"
"-54.32684924900532","-674.7866461407393","null","null"
"-54.62708802856505","-657.8216749057174","null","null"
"-48.575465962290764","-659.4642754852772","null","null"
"-48.836405374854806","-686.2475934877991","null","null"
"-56.787009715661405","-697.4155247882009","null","null"
"-37.527054966241124","-694.9664821013808","null","null"
"-53.64889927553013","-668.054048807174","null","null"
"-60.55979900881648","-713.8296188052743","null","null"
"-55.4843268558383","-705.6446269832552","null","null"
"-47.40536993741989","-721.8346407931298","null","null"
"-68.75781394662336","-651.5189496949315","null","null"
"-46.42873302847147","-720.0974939703941","null","null"
"-56.863316264748576","-703.1218040645123","null","null"
"-49.178340029716495","-714.7860471762717","null","null"
"-62.15152251943946","-669.390714866668","null","null"
"-45.52436865866184","-741.7888111129869","null","null"
"-55.173692520149054","-710.510925552249","null","null"
"-70.69320737421512","-630.7214326001704","null","null"
"-52.68786759227514","-670.6334206864237","null","null"
"-53.027937004342675","-690.9151410803199","null","null"
"-52.44177586883306","-661.8210228409619","null","null"
"-54.864345103502274","-680.9524736568331","null","null"
"-47.05387817844748","-648.5495295761153","null","null"
"-59.83063108325005","-727.705430687638","null","null"
"-57.400446721166375","-660.6549530401826","null","null"
"-51.39851950779557","-678.9911553904415","null","null"
"-37.68536093086004","-666.984891102463","null","null"
"-46.80697765052319","-719.6958394631744","null","null"
"-59.14881174117327","-697.8786702007055","null","null"
"-40.35425471290946","-755.748633877933","null","null"
"-73.16040326654911","-679.4323652386665","null","null"
"-57.735794347524646","-693.9108108580112","null","null"
"-74.563301730901","-631.9582455947996","null","null"
"-54.637688444554804","-682.9172545827926","null","null"
"-54.52062269188464","-674.3769072338939","null","null"
"-49.128400371596214","-684.7520676590502","null","null"
"-47.991626201570035","-666.3611154153944","null","null"
"-47.35922998022288","-703.2045203693211","null","null"
"-52.461521258950235","-667.5827666319907","null","null"
"-62.57002680776641","-673.5975711554289","null","null"
"-44.929720187559724","-679.0209294497967","null","null"
"-50.924518257007","-651.1226828470826","null","null"
"-54.37979737650603","-727.2496525704861","null","null"
"-49.054528813809156","-696.3559145579114","null","null"
"-41.7721273008734","-688.8829203397036","null","null"
"-55.02181438654661","-698.3429417960346","null","null"
"-53.45348818972707","-703.4801293526776","null","null"
"-58.447842478752136","-658.3604539111257","null","null"
"-42.27530387490988","-659.3797055408359","null","null"
"-72.678763666749","-655.3002941966057","null","null"
"-47.153086020052434","-688.0839465864003","null","null"
"-68.24699442461133","-614.4462081849575","null","null"
"-43.795560052990915","-677.8282422378659","null","null"
"-61.32639282792807","-663.0387196801603","null","null"
"-50.54343381933868","-674.9674141407013","null","null"
"-59.03812806084752","-693.6030210755765","null","null"
"-52.82063642889261","-704.5770109370351","null","null"
"-57.32848999500275","-677.5734673287719","null","null"
"-55.71183667257428","-673.9991688312963","null","null"
"-58.58208052068949","-654.0126312377863","null","null"
"-48.38010037392378","-687.1246267020703","null","null"
"-42.09081829190254","-674.4189795248909","null","null"
"-50.13011557683349","-693.8850561239757","null","null"
"-39.1083155926317","-713.370189999044","null","null"
"-57.178977913782","-666.6018998935818","null","null"
"-44.69247156456113","-664.2532859571278","null","null"
"-53.032538786716756","-668.7221848624758","null","null"
"-47.23104413002729","-688.3004978835583","null","null"
"-59.96101939305663","-686.031924150139","null","null"
"-38.203032753244045","-718.7503960841335","null","null"
"-55.41259882748127","-700.0958728834987","null","null"
"-60.91162693873048","-688.6753113245592","null","null"
"-57.1313935354352","-660.7939643133432","null","null"
"-52.69370920956135","-666.5653655543923","null","null"
"-57.35826430097222","-647.0136621780694","null","null"
"-57.292505064839496","-710.6472727891057","null","null"
"-41.51654915832914","-665.0933498239144","null","null"
"-48.99865006729961","-653.3290904805065","null","null"
"-46.49951093941927","-723.5033391516656","null","null"
"-52.61852346844971","-684.3135688547045","null","null"
"-53.29884434491396","-663.4879115268589","null","null"
"-70.80078698471189","-598.6920789983124","-31.178153008408845","-803.934282541275"
"-49.138203871250155","-701.0039640296251","-42.0274588781409","-706.3490494355559"
"-57.607036996632814","-677.8165227793157","-39.72669475711882","-755.0089539900422"
"-69.40932459384203","-675.0949539631605","-39.248751383647324","-740.9809886999428"
"-48.59478411078453","-693.0357948064805","-37.893188278749584","-700.2798736318946"
"-54.798450742289425","-709.310105991736","-41.891307007177964","-691.5291508952156"
"-54.84534148965031","-699.0312970407307","-41.38848325964064","-692.7871900674421"
"-60.55254213567823","-639.8673236560077","-37.33607334084809","-755.9645676359535"
"-59.12549291625619","-698.0980456788093","-39.370248436089604","-707.8987253263592"
"-59.29946938995272","-671.1361653722822","-38.60061610531993","-743.9368739888072"
"-62.37768201716244","-673.4052373744547","-38.89588800836354","-741.0664329539984"
"-50.04244623854756","-712.339171358943","-42.15547990947962","-709.8547926723957"
"-49.3642355017364","-679.3988846130669","-38.60820850096643","-750.3519218996167"
"-64.05006035193801","-652.4837760802359","-36.153142702241894","-760.3372426799499"
"-47.435134910047054","-650.1937527135015","-36.07916690185666","-746.4041038181633"
"-48.82277510613203","-725.2290208548308","-44.229498020606115","-672.0718049695715"
"-51.89365220665932","-689.7066935673356","-41.48237805289682","-725.5502999275923"
"-47.61932920217514","-681.633058656007","-38.64709033658728","-717.7987658124417"
"-46.667693251208405","-657.6664883419871","-35.44804299212992","-726.0296626234427"
"-52.89375648647547","-679.707620677352","-38.63037418760359","-708.5082554757595"
"-58.729923728853464","-690.4220614049584","-40.166537432931364","-708.3423147618771"
"-45.795251324772835","-730.5914889041335","-45.54830394666642","-712.1398922488094"
"-57.84441236198181","-703.1753655038774","-40.37769752824679","-721.095073826611"
"-53.68455274477601","-657.8942061185837","-38.196243427833544","-758.4671642068773"
"-43.89644244704395","-689.463477393426","-38.39126975336112","-716.7785256635398"
"-69.92266450889875","-716.2290955424309","-44.37949686478824","-735.0624488644302"
"-50.93414040394127","-660.5048546120524","-36.98294378370046","-732.6950343817473"
"-54.36923288404942","-675.4959330804646","-38.46549697094597","-734.3523345902562"
"-52.0767301492393","-730.4720178723335","-45.212118623917924","-688.7206431686878"
"-55.76797702237964","-681.2172678470612","-38.89552561370656","-701.3353639140726"
"-52.34416052699089","-662.9286452196538","-35.95003882665187","-730.7978639282286"
"-58.49683927092701","-675.7942955877631","-41.427244342301854","-747.0039489895105"
