2023-04-24 13:00:40,159 INFO    MainThread:29280 [wandb_setup.py:_flush():76] Configure stats pid to 29280
2023-04-24 13:00:40,161 INFO    MainThread:29280 [wandb_setup.py:_flush():76] Loading settings from C:\Users\liamm\.config\wandb\settings
2023-04-24 13:00:40,161 INFO    MainThread:29280 [wandb_setup.py:_flush():76] Loading settings from c:\Users\liamm\water-resource-management\GPI\wandb\settings
2023-04-24 13:00:40,161 INFO    MainThread:29280 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-24 13:00:40,161 INFO    MainThread:29280 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-24 13:00:40,161 INFO    MainThread:29280 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-04-24 13:00:40,162 INFO    MainThread:29280 [wandb_init.py:_log_setup():506] Logging user logs to c:\Users\liamm\water-resource-management\GPI\wandb\run-20230424_130040-dgf8cm1m\logs\debug.log
2023-04-24 13:00:40,162 INFO    MainThread:29280 [wandb_init.py:_log_setup():507] Logging internal logs to c:\Users\liamm\water-resource-management\GPI\wandb\run-20230424_130040-dgf8cm1m\logs\debug-internal.log
2023-04-24 13:00:40,162 INFO    MainThread:29280 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001CCFDAD7A30>
2023-04-24 13:00:40,163 INFO    MainThread:29280 [wandb_init.py:init():546] calling init triggers
2023-04-24 13:00:40,163 INFO    MainThread:29280 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'env_id': 'mo-mountaincarcontinuous-v0', 'learning_rate': 0.0003, 'num_q_nets': 2, 'batch_size': 128, 'tau': 0.005, 'gamma': 0.99, 'policy_noise': 0.2, 'net_arch': [256, 256], 'gradient_updates': 1, 'delay_policy_update': 2, 'min_priority': 0.1, 'per': True, 'buffer_size': 400000, 'alpha': 0.6, 'learning_starts': 100, 'dyna': False, 'dynamics_net_arch': [200, 200, 200, 200], 'dynamics_rollout_len': 5, 'dynamics_min_uncertainty': 2.0, 'dynamics_real_ratio': 0.1, 'dynamics_train_freq': 250, 'dynamics_rollout_starts': 1000, 'dynamics_rollout_freq': 250, 'dynamics_rollout_batch_size': 10000, 'seed': None, 'algo': 'gpi-ls_cart'}
2023-04-24 13:00:40,163 INFO    MainThread:29280 [wandb_init.py:init():602] starting backend
2023-04-24 13:00:40,163 INFO    MainThread:29280 [wandb_init.py:init():606] setting up manager
2023-04-24 13:00:40,165 INFO    MainThread:29280 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-24 13:00:40,172 INFO    MainThread:29280 [wandb_init.py:init():613] backend started and connected
2023-04-24 13:00:40,186 INFO    MainThread:29280 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-04-24 13:00:40,187 INFO    MainThread:29280 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-04-24 13:00:40,187 INFO    MainThread:29280 [wandb_init.py:init():701] updated telemetry
2023-04-24 13:00:40,280 INFO    MainThread:29280 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-24 13:00:40,890 INFO    MainThread:29280 [wandb_run.py:_on_init():2133] communicating current version
2023-04-24 13:00:41,007 INFO    MainThread:29280 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.15.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-24 13:00:41,007 INFO    MainThread:29280 [wandb_init.py:init():789] starting run threads in backend
2023-04-24 13:00:50,859 INFO    MainThread:29280 [wandb_run.py:_console_start():2114] atexit reg
2023-04-24 13:00:50,859 INFO    MainThread:29280 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-24 13:00:50,860 INFO    MainThread:29280 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-24 13:00:50,860 INFO    MainThread:29280 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-24 13:00:50,860 INFO    MainThread:29280 [wandb_init.py:init():831] run started, returning control to user process
2023-04-24 13:00:50,862 INFO    MainThread:29280 [wandb_run.py:_tensorboard_callback():1396] tensorboard callback: /tmp/gpi-ls_cart, True
2023-04-24 13:00:50,869 INFO    MainThread:29280 [wandb_config.py:__setitem__():152] config set ref_point = [0.0, 0.0] - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001CCAE185F40>>
2023-04-24 13:00:50,869 INFO    MainThread:29280 [wandb_run.py:_config_callback():1251] config_cb ref_point [0.0, 0.0] None
2023-04-24 13:00:50,869 INFO    MainThread:29280 [wandb_config.py:__setitem__():152] config set known_front = None - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001CCAE185F40>>
2023-04-24 13:00:50,869 INFO    MainThread:29280 [wandb_run.py:_config_callback():1251] config_cb known_front None None
