"objective_1","objective_2","objective_3","objective_4"
"-70.80078698471189","-598.6920789983124","-31.178153008408845","-803.934282541275"
"-49.138203871250155","-701.0039640296251","-42.0274588781409","-706.3490494355559"
"-57.607036996632814","-677.8165227793157","-39.72669475711882","-755.0089539900422"
"-69.40932459384203","-675.0949539631605","-39.248751383647324","-740.9809886999428"
"-48.59478411078453","-693.0357948064805","-37.893188278749584","-700.2798736318946"
"-54.798450742289425","-709.310105991736","-41.891307007177964","-691.5291508952156"
"-54.84534148965031","-699.0312970407307","-41.38848325964064","-692.7871900674421"
"-60.55254213567823","-639.8673236560077","-37.33607334084809","-755.9645676359535"
"-59.12549291625619","-698.0980456788093","-39.370248436089604","-707.8987253263592"
"-59.29946938995272","-671.1361653722822","-38.60061610531993","-743.9368739888072"
"-62.37768201716244","-673.4052373744547","-38.89588800836354","-741.0664329539984"
"-50.04244623854756","-712.339171358943","-42.15547990947962","-709.8547926723957"
"-49.3642355017364","-679.3988846130669","-38.60820850096643","-750.3519218996167"
"-64.05006035193801","-652.4837760802359","-36.153142702241894","-760.3372426799499"
"-47.435134910047054","-650.1937527135015","-36.07916690185666","-746.4041038181633"
"-48.82277510613203","-725.2290208548308","-44.229498020606115","-672.0718049695715"
"-51.89365220665932","-689.7066935673356","-41.48237805289682","-725.5502999275923"
"-47.61932920217514","-681.633058656007","-38.64709033658728","-717.7987658124417"
"-46.667693251208405","-657.6664883419871","-35.44804299212992","-726.0296626234427"
"-52.89375648647547","-679.707620677352","-38.63037418760359","-708.5082554757595"
"-58.729923728853464","-690.4220614049584","-40.166537432931364","-708.3423147618771"
"-45.795251324772835","-730.5914889041335","-45.54830394666642","-712.1398922488094"
"-57.84441236198181","-703.1753655038774","-40.37769752824679","-721.095073826611"
"-53.68455274477601","-657.8942061185837","-38.196243427833544","-758.4671642068773"
"-43.89644244704395","-689.463477393426","-38.39126975336112","-716.7785256635398"
"-69.92266450889875","-716.2290955424309","-44.37949686478824","-735.0624488644302"
"-50.93414040394127","-660.5048546120524","-36.98294378370046","-732.6950343817473"
"-54.36923288404942","-675.4959330804646","-38.46549697094597","-734.3523345902562"
"-52.0767301492393","-730.4720178723335","-45.212118623917924","-688.7206431686878"
"-55.76797702237964","-681.2172678470612","-38.89552561370656","-701.3353639140726"
"-52.34416052699089","-662.9286452196538","-35.95003882665187","-730.7978639282286"
"-58.49683927092701","-675.7942955877631","-41.427244342301854","-747.0039489895105"
"-64.40621237605811","-705.861444684863","-44.21978970915079","-712.8215094424784"
"-44.10055733358022","-684.7896235194057","-37.55455329809338","-702.9609821543097"
"-51.92680123746395","-690.5391767993569","-40.698547997232524","-711.7982830278576"
"-54.96248540431261","-667.2730594072491","-37.906643076392356","-753.1875218683854"
"-55.39219598025083","-720.6408066339791","-43.32430419977754","-681.0872708410025"
"-49.8415107447654","-655.3425022415817","-38.024654840677975","-740.269867644459"
"-51.5999553501606","-685.5535032812506","-37.97243139389902","-707.6262852467596"
"-51.470836678892375","-640.2005757674575","-34.43565117395483","-757.4100699588656"
"-55.1995772741735","-654.0707501091063","-36.611713223345575","-748.60352733396"
"-59.60975979231298","-680.5946896288544","-37.42243155864999","-702.0238261133433"
"-48.99052322357893","-699.8013974677772","-42.913195808883756","-694.0811277002097"
"-55.50546660721302","-659.0140246137977","-37.39435705379583","-750.2526065155864"
"-59.6694715835154","-638.7458372525871","-33.322480625659225","-763.3107218056917"
"-61.56308155357838","-661.2054055407643","-34.97461766548222","-741.0103287562728"
"-47.1192634768784","-677.6187993139029","-38.68950367774814","-706.9729615613818"
"-59.24128396436572","-695.0292916312814","-40.66309214681387","-728.0306336469948"
"-56.32278891801834","-635.676294464618","-33.291293127276006","-771.5557207033038"
"-57.352192881703374","-665.2182492382824","-36.26485775409965","-725.9250711135567"
"-41.56338669732213","-662.0784346662462","-36.41575373109081","-736.6029212225228"
"-52.52517067492008","-677.090376628749","-38.85935893515125","-706.8109014146146"
"-59.42564360015094","-643.8390973210335","-35.87708691135049","-757.1532789081335"
"-47.29783207476139","-689.2780448749661","-38.812387645654965","-713.5054564923048"
"-45.40931831374765","-693.3847378997132","-39.064370568376034","-699.3036492474378"
"-45.70364230936393","-704.8856943026185","-40.551565951108934","-686.3513803042472"
"-48.947519509494306","-709.5503196582198","-40.70101963714696","-678.4279277823865"
"-47.193910060822965","-719.7246937677264","-46.676311645656824","-696.3248846996576"
"-44.084497188031676","-706.7384454883635","-42.79303855331382","-697.7163188032806"
"-49.72776909843087","-712.7979609560222","-41.99215379785746","-708.5693841594737"
"-61.69768096208573","-640.4518695699983","-37.17135260994546","-786.8625064779073"
"-46.137706065224485","-690.0355201795697","-41.12655480991816","-713.1652900410816"
"-57.47764611840248","-690.4431948624551","-39.26542773991823","-733.6085465464741"
"-47.512193801254035","-688.4110092663439","-39.22251493465156","-737.2680365420878"
"-59.73265552148223","-667.637057993561","-39.630318090633956","-752.1713494868949"
"-55.889021581225094","-648.9553442534059","-34.45646647000685","-776.5265569571405"
"-52.66477617099881","-678.7445423588157","-38.47900676392019","-737.8422760520131"
"-62.3120390728116","-683.9860941901803","-40.0704493612051","-740.3645754408092"
"-44.331433615088464","-693.6048595994711","-44.02714421078563","-734.3219448728021"
"-47.18984240442514","-644.9325519606471","-35.196121788956226","-740.3344579711556"
